,Unnamed: 0,Unnamed: 0.1,tweets,date,tweet_id,subjectivite,sentiment,replay
193,193,193,peach crumble macaroons accompany crumble with a scoop of vanilla ice cream recipes,2020-07-16 14:31:11,1283771164813336581,objective,0, 
194,194,194,chilled pepper soup fêta an frozen soup that goes well this season recipes,2020-07-16 10:30:41,1283710638284513280,objective,0, 
195,195,195,oriental stuffed eggplants moment African cuisine dishes are very vegetables,2020-07-16 08:30:47,1283680466646835200,objective,0, 
196,196,196,chocolate hazelnut ice cream a very very tasty ice cream recipes ice cream desserts summer,2020-07-15 16:31:19,1283439006814998528,objective,0, 
197,197,197,homemade apricot ice cream with fresh apricots recipes desserts ice cream,2020-07-15 14:31:11,1283408777547522048,objective,0, 
198,198,198,gazpacho gazpacho spanish time olé gazpacho recipes spain,2020-07-15 10:30:50,1283348290898210817,objective,0, 
199,199,199,skewers vegetables sun skewers nest parent necessarily meat,2020-07-15 08:30:43,1283318060137537536,objective,0, 
200,200,200,red fruit melon soup iced melon summer its delicious try recipes,2020-07-14 16:30:52,1283076509020893185,objective,0, 
201,201,201,verrine apricots green tea hazelnut cream cooking dishes recipes simple origina,2020-07-14 14:30:52,1283046307851046932,objective,0, 
202,202,202,crumble candied tomatoes culinary holidays provence recipes provence tomatoes,2020-07-14 10:30:35,1282985840692662272,objective,0,['petite question : cest bien 1heure à degrés les tomates ça paraît beaucoup  Ceci étant  ça à lair délicieux ']
203,203,203,watermelon salad mint feta a very light refreshing salad recipes,2020-07-14 08:30:38,1282955654844555265,objective,0, 
204,204,204,salad melons watermelon honeydew in summer hydration is this ideal recipe,2020-07-13 16:31:06,1282714179657441285,Subjective,1, 
205,205,205,lavender nectarine tart this recipe concentrates all flavors of Provence recipes,2020-07-13 14:31:03,1282683965132935169,objective,0, 
206,206,206,sweet pepper pie a seasonal pie serve with seasoned mesclun,2020-07-13 10:30:36,1282623455654039554,objective,0,['Bonjour J Artificial Intelligence fait cette tarte Excellent Grinning face smiling eyes Merci pour tous ces recettes']
